,Makanan,Karbohidrat,Protein,Sayur,Pengolahan,Kelas
0,Sosis Bakar,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
1,Yakitori Ayam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
2,Ayam Bakar Bumbu Rujak,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
3,Ayam Bakar Klaten,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
4,Ayam Goreng Cabe,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
5,Sate Ponorogo,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
6,Ayam Panggang Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
7,Ayam Panggang Lada Hitam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
8,Ayam Bekakak,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
9,Ayam Barbeque,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
10,Sate Maranggi,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
11,Sate Klopo,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
12,Sate Kambing,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
13,Ayam Bakar Padang,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
14,Ayam Bakar Bumbu Bali,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
15,Ayam Bakar Bumbu Kuning,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
16,Ayam Bakar Kecap,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
17,Beef Steak Tenderloin Blackpepper Sauce,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
18,Sate Taichan,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
19,Ayam Bakar Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
20,Sate Komoh,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
21,Sate Ayam Madura,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
22,Iga Bakar Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
23,Sate Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar,10
24,Ngohiong Ayam Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
25,Kekian Ayam Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
26,Ayam Telur Asin,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
27,Oseng Tahu Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
28,Egg Chicken Roll,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
29,Itiak Lado Mudo (Bebek Cabe Ijo),Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
30,Ekkado,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
31,Bebek Madura,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
32,Bebek Goreng Surabaya,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
33,Jengkol Balado,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
34,Tumis Jamur Kancing,Tidak ada,Lainnya,Tidak,Goreng atau tumis,33
35,Rawon Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
36,Sop Buntut Bakar,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
37,Tengkleng,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
38,Sop Ceker,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
39,Ayam Kemangi,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
40,Pindang Tulang Iga,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
41,Brongkos,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
42,Bistik Daging Sapi,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
43,Rawon,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus,15
